3,Doom,John Romero,1993,Shooter,83,18,PC,False
3,Doom Eternal,Bethesda Softworks,2020,Shooter,86,18,PC/PS4,False
3,Red Dead Redemption 2,Rockstar Games,2018,Western/Shooter/Roleplay,96,18,PC/PS4/XboxOne,True
3,Red Dead Redemption,Rockstar Games,2010,Western/Shooter/Roleplay,95,18,PS3/Xbox360,False
3,Call of Duty,Aspyr Media,2003,Shooter,91,18,PC,False
4,Youth in Revolt,The Weinstein Company,2010,Comedy,68,21,movie_storage/Revolt.mov,180,Miguel Arteta,Travolta,Cool film
4,You Will Meet a Tall Dark Stranger,Independent,2011,Comedy,73,21,movie_storage/Stranger.mov,150,Henry,Cavil,Awesome
4,The Shawshank Redemption,Frank Darabont,1994,Drama,98,18,movie_storage/Redemption.mov,146,Tim Robbins,mustwatch!
4,The Dark Knight,Christopher Nolan,2008,Fantasy,96,16,movie_storage/Batman.mov,125,Christian Bale, DC universe film
1,Милый дом и все кто в нём,Абрамов А. С.,1994,Fiction,42,21,book_contents/1.txt,218
1,Стеклянный флаг,Акимов В. Н.,1970,Fiction,74,10,book_contents/2.txt,368
1,Убежать от реальности,Бабанский В. В.,1965,Fiction,86,18,book_contents/3.txt,469
1,Лезвие на воде,Александров Б. Ю.,1977,Fiction,98,14,book_contents/4.txt,155
1,Мы друзья?,Проскуряков А. С.,2012,Fiction,54,21,book_contents/5.txt,499
